Position	Strand	Coverage_WT1	Coverage_WT2	Coverage_WT3	MethylPercent_WT1	MethylPercent_WT2	MethylPercent_WT3	Coverage_Mean	MethylPercent_Mean
620	Plus	22	43	49	1	0.9535	1	38	0.9845
621	Minus	35	41	35	0.9429	0.9756	0.9714	37	0.9633
727	Plus	19	42	47	0.8947	0.881	0.9574	36	0.911033333
728	Minus	36	43	35	1	0.9767	1	38	0.992233333
782	Plus	22	45	48	1	0.9111	1	38.33333333	0.970366667
783	Minus	37	43	37	1	0.9535	1	39	0.9845
881	Plus	24	45	49	0.9583	0.9778	0.9592	39.33333333	0.9651
882	Minus	39	42	39	0.9744	0.9762	1	40	0.983533333
1168	Plus	23	44	50	0.913	0.9091	0.94	39	0.9207
1169	Minus	39	47	34	0.9487	0.9574	1	40	0.9687
1570	Plus	24	49	55	1	1	0.9636	42.66666667	0.987866667
1571	Minus	45	50	39	0.9778	0.98	1	44.66666667	0.985933333
1635	Plus	25	53	51	1	1	0.9804	43	0.993466667
1636	Minus	44	50	37	1	0.94	0.9459	43.66666667	0.961966667
1724	Plus	26	53	57	0.9615	0.9811	0.9649	45.33333333	0.969166667
1725	Minus	44	51	37	1	1	1	44	1
2021	Plus	27	53	56	1	0.9623	1	45.33333333	0.987433333
2022	Minus	50	58	39	0.96	1	1	49	0.986666667
2354	Plus	29	53	63	1	0.9811	0.9206	48.33333333	0.967233333
2355	Minus	47	58	40	1	1	0.95	48.33333333	0.983333333
2516	Plus	28	52	62	0.9643	1	0.9355	47.33333333	0.9666
2517	Minus	49	61	44	0.9592	1	1	51.33333333	0.9864
2633	Plus	29	53	65	0.931	0.9623	0.9692	49	0.954166667
2634	Minus	46	54	42	0.9783	0.9815	0.9524	47.33333333	0.970733333
2762	Plus	27	52	66	0.9259	0.8654	0.9242	48.33333333	0.905166667
2763	Minus	46	55	43	0.913	0.9636	0.9767	48	0.9511
3074	Plus	31	59	65	0.9677	0.8983	1	51.66666667	0.955333333
3075	Minus	49	52	45	1	0.9038	0.9778	48.66666667	0.960533333
3263	Plus	31	62	71	1	0.9839	1	54.66666667	0.994633333
3264	Minus	48	52	43	0.9792	0.9808	1	47.66666667	0.986666667
3756	Plus	32	57	62	0.9062	0.8421	0.871	50.33333333	0.8731
3757	Minus	51	59	49	0.8824	0.9831	0.9184	53	0.927966667
3905	Plus	35	58	62	0.9143	0.9483	0.9194	51.66666667	0.927333333
3906	Minus	48	57	49	0.9583	0.9825	1	51.33333333	0.980266667
4821	Plus	39	59	74	1	0.9661	0.9865	57.33333333	0.9842
4822	Minus	50	63	53	0.98	1	0.9623	55.33333333	0.980766667
4917	Plus	37	61	75	0.973	0.9672	0.9733	57.66666667	0.971166667
4918	Minus	48	61	54	0.9792	0.9836	0.963	54.33333333	0.975266667
5346	Plus	43	62	70	0.9767	0.9839	0.9714	58.33333333	0.977333333
5347	Minus	53	59	54	0.9245	0.9661	1	55.33333333	0.963533333
5490	Plus	43	64	71	0.907	0.9375	0.9296	59.33333333	0.9247
5491	Minus	52	61	56	0.9808	0.9672	0.9821	56.33333333	0.9767
5852	Plus	48	53	74	0.9583	1	0.973	58.33333333	0.9771
5853	Minus	53	60	55	0.9245	0.95	0.9818	56	0.9521
6034	Plus	45	53	69	0.8889	0.8868	0.942	55.66666667	0.9059
6035	Minus	46	60	55	0.9783	0.9	1	53.66666667	0.959433333
6062	Plus	47	53	62	0.9787	0.9811	1	54	0.9866
6063	Minus	51	57	55	0.9804	1	0.9818	54.33333333	0.9874
6356	Plus	47	57	73	1	1	0.9726	59	0.990866667
6357	Minus	52	58	59	0.9615	1	0.9831	56.33333333	0.981533333
6515	Plus	43	56	70	0.9767	0.9821	0.9857	56.33333333	0.9815
6516	Minus	50	57	54	0.94	0.8772	0.963	53.66666667	0.926733333
6598	Plus	44	58	71	0.9773	0.9655	0.9718	57.66666667	0.971533333
6599	Minus	49	59	58	0.9796	0.9661	0.9483	55.33333333	0.964666667
6788	Plus	42	58	70	1	0.9655	0.9857	56.66666667	0.983733333
6789	Minus	50	63	56	0.98	1	0.9643	56.33333333	0.981433333
6803	Plus	41	58	67	0.9756	0.9483	0.9403	55.33333333	0.954733333
6804	Minus	52	61	56	1	0.9672	1	56.33333333	0.989066667
7917	Plus	41	61	64	0.9268	0.918	0.9375	55.33333333	0.927433333
7918	Minus	50	59	62	0.96	0.9831	0.9839	57	0.975666667
8431	Plus	41	63	66	1	0.9683	0.9848	56.66666667	0.984366667
8432	Minus	56	55	65	0.9643	1	1	58.66666667	0.9881
8445	Plus	39	62	61	0.9744	0.9355	0.9508	54	0.953566667
8446	Minus	53	54	64	0.9623	0.9815	1	57	0.981266667
8583	Plus	41	62	62	0.9512	0.9839	0.9839	55	0.973
8584	Minus	53	55	62	1	0.9818	0.9839	56.66666667	0.988566667
8617	Plus	40	60	64	0.975	0.95	0.9844	54.66666667	0.9698
8618	Minus	53	55	59	0.9811	1	0.9661	55.66666667	0.9824
8628	Plus	41	64	64	1	0.9531	0.9531	56.33333333	0.968733333
8629	Minus	51	58	62	0.9216	0.9655	0.9677	57	0.9516
8760	Plus	42	63	68	1	0.9683	0.8971	57.66666667	0.955133333
8761	Minus	49	56	60	0.9796	0.9464	1	55	0.975333333
8836	Plus	42	64	68	0.9762	0.9688	0.9706	58	0.971866667
8837	Minus	51	54	59	0.9608	0.9815	0.9661	54.66666667	0.969466667
9100	Plus	42	69	63	0.9762	0.9855	0.9365	58	0.966066667
9101	Minus	48	54	60	0.9583	1	1	54	0.9861
9174	Plus	41	70	61	1	0.9857	0.9672	57.33333333	0.9843
9175	Minus	47	55	55	0.9574	0.9273	0.9273	52.33333333	0.937333333
9181	Plus	41	70	61	0.9512	0.9857	0.9672	57.33333333	0.968033333
9182	Minus	44	55	57	0.9318	0.9818	0.9825	52	0.965366667
9343	Plus	40	72	57	1	1	1	56.33333333	1
9344	Minus	44	53	59	0.9318	0.9434	0.9831	52	0.952766667
9462	Plus	43	74	60	1	1	0.9667	59	0.9889
9463	Minus	47	52	61	0.9787	1	0.9836	53.33333333	0.987433333
9621	Plus	45	75	61	0.9556	0.9467	0.9344	60.33333333	0.945566667
9622	Minus	48	51	65	0.9792	0.9804	0.9538	54.66666667	0.971133333
9648	Plus	47	74	62	0.9574	0.973	0.9839	61	0.971433333
9649	Minus	47	51	67	1	0.9804	0.9254	55	0.9686
9690	Plus	46	77	58	0.9348	0.9481	0.9655	60.33333333	0.949466667
9691	Minus	49	52	65	1	1	0.9846	55.33333333	0.994866667
9916	Plus	43	76	61	0.9535	0.9605	0.9344	60	0.949466667
9917	Minus	47	51	69	0.9574	0.9608	0.942	55.66666667	0.9534
10019	Plus	44	76	61	0.9091	0.9605	0.9508	60.33333333	0.940133333
10020	Minus	50	51	69	0.98	0.9804	1	56.66666667	0.9868
10076	Plus	44	77	64	0.8864	0.961	0.9844	61.66666667	0.943933333
10077	Minus	50	55	70	0.94	1	1	58.33333333	0.98
10601	Plus	46	74	52	1	0.9324	0.9231	57.33333333	0.951833333
10602	Minus	51	53	69	0.9608	0.9811	0.9565	57.66666667	0.966133333
11327	Plus	49	76	61	0.9388	0.9737	0.9344	62	0.948966667
11328	Minus	52	50	69	0.9615	0.9	0.8986	57	0.920033333
11494	Plus	45	77	60	0.9556	0.9091	0.8833	60.66666667	0.916
11495	Minus	55	55	76	1	0.9455	0.9605	62	0.968666667
11664	Plus	53	78	55	0.9811	0.9103	1	62	0.9638
11665	Minus	54	52	75	0.9815	0.9615	1	60.33333333	0.981
12260	Plus	49	77	60	0.9388	0.8961	0.8833	62	0.906066667
12261	Minus	56	55	66	0.9107	0.8364	0.8636	59	0.870233333
12871	Plus	55	77	64	0.9636	0.987	0.9531	65.33333333	0.9679
12872	Minus	57	51	69	0.9649	1	0.9565	59	0.9738
12902	Plus	54	74	67	1	0.9865	0.9701	65	0.985533333
12903	Minus	58	49	70	0.9655	0.9796	0.9286	59	0.9579
12926	Plus	54	76	64	1	1	1	64.66666667	1
12927	Minus	59	48	70	1	0.9792	0.9857	59	0.9883
13094	Plus	49	77	63	0.9388	0.974	0.9524	63	0.955066667
13095	Minus	55	48	70	0.9636	0.9167	0.9571	57.66666667	0.9458
13396	Plus	50	73	60	0.98	1	0.9667	61	0.982233333
13397	Minus	60	49	72	0.9667	0.9592	0.9722	60.33333333	0.966033333
13576	Plus	50	72	58	0.9	0.9444	0.9655	60	0.936633333
13577	Minus	57	50	70	0.9649	0.96	0.9571	59	0.960666667
13657	Plus	49	70	58	0.9592	0.9429	0.9138	59	0.938633333
13658	Minus	59	50	74	0.9661	1	0.9189	61	0.961666667
14315	Plus	51	68	61	0.9412	0.9118	0.9672	60	0.940066667
14316	Minus	55	47	76	0.9455	0.8723	0.9737	59.33333333	0.9305
14367	Plus	51	69	60	0.9804	0.9855	0.9667	60	0.977533333
14368	Minus	54	48	76	0.963	1	0.9868	59.33333333	0.983266667
