Site	Type	Left	Right	Strand	Transcription-Units
aaeBp3	Promoters	3388263	3388324	-	NA
aaeBp7	Promoters	3388236	3388297	-	NA
aaeBp8	Promoters	3388258	3388319	-	NA
aaeR	Transcription-Units	3389496	3390449	+	aaeR
aaeRp	Promoters	3389435	3389496	+	aaeR
aaeRp10	Promoters	3389320	3389381	+	NA
aaeRp6	Promoters	3389416	3389477	+	NA
aaeRp7	Promoters	3389400	3389461	+	NA
aaeRp9	Promoters	3389322	3389383	+	NA
aaeXAB	Transcription-Units	3389430	3389337	-	aaeXAB
aaeXp	Promoters	3389430	3389491	-	aaeXAB
aas-lplT	Transcription-Units	2972669	2976014	-	aas-lplT
aat	Transcription-Units	926728	927432	-	aat
aatp5	Promoters	927460	927521	-	NA
abgABT-ogt	Transcription-Units	1399721	1404565	-	abgABT-ogt
abgR	Transcription-Units	1404741	1405693	+	abgR
abgR terminator	Rho-Independent-Terminators	1405662	1405693	+	abgR
abpAB	Transcription-Units	2761351	2765153	-	abpAB
abrB	Transcription-Units	746723	747769	-	abrB
accA	Transcription-Units	208326	209580	+	accA
accA	Transcription-Units	208411	209580	+	accA
accAp1	Promoters	208350	208411	+	accA
accAp2	Promoters	208265	208326	+	accA
accBC	Transcription-Units	3405172	3407302	+	accBC
accBC	Transcription-Units	3405140	3407302	+	accBC
accBC terminator	Rho-Independent-Terminators	3407286	3407302	+	accBC // accBC
accBp1	Promoters	3405079	3405140	+	accBC
accBp2	Promoters	3405111	3405172	+	accBC
accD	Transcription-Units	2434015	2433926	-	accD
accD terminator	Rho-Independent-Terminators	2432963	2433017	-	accD
accDp	Promoters	2434015	2434076	-	accD
aceBAK	Transcription-Units	4215402	4220332	+	aceBAK
aceBp	Promoters	4215341	4215402	+	aceBAK
aceEF	Transcription-Units	122969	127619	+	aceEF
aceEF	Transcription-Units	122969	127619	+	aceEF
aceEF terminator	Rho-Independent-Terminators	127590	127619	+	aceEF // aceEF
aceEp1	Promoters	122908	122969	+	aceEF
aceEp2	Promoters	122908	122969	+	aceEF
aceK	Transcription-Units	4218596	4220332	+	aceK
ackA	Transcription-Units	2413459	2414672	+	ackA
ackA-pta	Transcription-Units	2413470	2416891	+	ackA-pta
ackAp	Promoters	2413398	2413459	+	ackA
acnA	Transcription-Units	1335781	1338506	+	acnA
acnA	Transcription-Units	1335424	1338506	+	acnA
acnA	Transcription-Units	1335424	1338506	+	acnA
acnA	Transcription-Units	1335827	1338506	+	acnA
acnAp1	Promoters	1335363	1335424	+	acnA
acnAp2	Promoters	1335720	1335781	+	acnA
acnAp3	Promoters	1335766	1335827	+	acnA
acnB	Transcription-Units	131564	134212	+	acnB
acnB	Transcription-Units	131519	134272	+	acnB
AcnB mRNA-binding-site regulating acnB	mRNA-Binding-Sites	134209	134243	+	acnB
acnB terminator	Rho-Independent-Terminators	134249	134272	+	acnB
acnBp1	Promoters	131458	131519	+	acnB
acnBp2	Promoters	131503	131564	+	acnB
acpH	Transcription-Units	424337	424918	-	acpH
acpP	Transcription-Units	1151575	1151887	+	acpP
acpP terminator	Rho-Independent-Terminators	1151860	1151887	+	acpP
acpP-fabF	Transcription-Units	1151575	1153180	+	acpP-fabF
acpPp	Promoters	1151514	1151575	+	acpP // acpP-fabF
acpSp2	Promoters	2701137	2701198	-	NA
acpSp3	Promoters	2701162	2701223	-	NA
acpT	Transcription-Units	3612969	3613556	+	acpT
acrAB	Transcription-Units	485698	485619	-	acrAB
acrAp	Promoters	485698	485759	-	acrAB
acrB	Transcription-Units	484685	484403	-	acrB
acrBp	Promoters	484685	484746	-	acrB
acrD	Transcription-Units	2587475	2590708	+	acrD
acrD	Transcription-Units	2587550	2590708	+	acrD
acrDp	Promoters	2587414	2587475	+	acrD
acrDp2	Promoters	2587489	2587550	+	acrD
acrEF	Transcription-Units	3413702	3418177	+	acrEF
acrEF terminator	Rho-Independent-Terminators	3418143	3418177	+	acrEF
acrEp	Promoters	3413641	3413702	+	acrEF
acrR	Transcription-Units	485699	486408	+	acrR
AcrR DNA-binding-site 22.5 bases downstream of acrRp	DNA-Binding-Sites	485709	485733	+	acrR // acrAB
AcrR DNA-binding-site 25.5 bases upstream of soxSp	DNA-Binding-Sites	4277444	4277454	-	soxS // soxR
AcrR DNA-binding-site 31.5 bases upstream of flhDp	DNA-Binding-Sites	1978422	1978432	-	flhDC
AcrR DNA-binding-site 40.5 bases upstream of marRp	DNA-Binding-Sites	1619048	1619058	+	marRAB
AcrR DNA-binding-site 41 bases downstream of micFp2	DNA-Binding-Sites	2313112	2313136	+	micF // micF
acrRp	Promoters	485638	485699	+	acrR
acrZ	Transcription-Units	794751	794922	+	acrZ
acrZp	Promoters	794690	794751	+	acrZ
acs-yjcHG	Transcription-Units	4287595	4287371	-	acs-yjcHG
acs-yjcHG	Transcription-Units	4287391	4287371	-	acs-yjcHG
acs-yjcHG	Transcription-Units	4287391	4287371	-	acs-yjcHG
acsp	Promoters	4287391	4287452	-	acs-yjcHG
acsp1	Promoters	4287595	4287656	-	acs-yjcHG
acsp2	Promoters	4287391	4287452	-	acs-yjcHG
actP	Transcription-Units	4284935	4284902	-	actP
actPp	Promoters	4284935	4284996	-	actP
Ada DNA-binding-site 38.5 bases upstream of adap2	DNA-Binding-Sites	2310454	2310478	-	ada-alkB // ada-alkB
Ada DNA-binding-site 41.5 bases upstream of alkAp2	DNA-Binding-Sites	2147589	2147613	-	alkA // alkA
Ada DNA-binding-site 53.5 bases upstream of aidBp2	DNA-Binding-Sites	4414182	4414206	+	aidB // aidB
Ada DNA-binding-site 58.5 bases upstream of adap2	DNA-Binding-Sites	2310474	2310498	-	ada-alkB // ada-alkB
ada-alkB	Transcription-Units	2310427	2310405	-	ada-alkB
ada-alkB	Transcription-Units	2310427	2310405	-	ada-alkB
adap	Promoters	2310427	2310488	-	ada-alkB
adap2	Promoters	2310427	2310488	-	ada-alkB
add	Transcription-Units	1702202	1703234	+	add
addp6	Promoters	1702141	1702202	+	add
ade	Transcription-Units	3843910	3845730	+	ade
adenosylcobalamin riboswitch regulating btuB-murI	mRNA-Binding-Sites	4163399	4163600	+	btuB-murI
adep	Promoters	3843849	3843910	+	ade
adep6	Promoters	3843840	3843901	+	NA
adep7	Promoters	3843869	3843930	+	NA
adeQ	Transcription-Units	3842455	3843789	-	adeQ
adhE	Transcription-Units	1298413	1298121	-	adhE
adhE	Transcription-Units	1298309	1298121	-	adhE
adhE	Transcription-Units	1298413	1298121	-	adhE
adhEp	Promoters	1298413	1298474	-	adhE
adhEp1	Promoters	1298413	1298474	-	adhE
adhEp2	Promoters	1298309	1298370	-	adhE
adhP	Transcription-Units	1552828	1553838	-	adhP
adhPp5	Promoters	1553994	1554055	-	NA
adiA	Transcription-Units	4340556	4340521	-	adiA
adiA terminator	Rho-Independent-Terminators	4338210	4338237	-	adiA
adiAp	Promoters	4340556	4340617	-	adiA
adiC	Transcription-Units	4337202	4337031	-	adiC
adiCp7	Promoters	4337202	4337263	-	adiC
adiY	Transcription-Units	4338042	4337929	-	adiY
adiYp	Promoters	4338042	4338103	-	adiY
adk	Transcription-Units	497139	497819	+	adk
adkp	Promoters	497078	497139	+	adk
adrA	Transcription-Units	403687	404818	+	adrA
adrAp	Promoters	403626	403687	+	adrA
aegA	Transcription-Units	2583546	2585525	-	aegA
aer	Transcription-Units	3219120	3219076	-	aer
aerp	Promoters	3219120	3219181	-	aer
aes	Transcription-Units	500051	499973	-	aes
aes terminator	Rho-Independent-Terminators	498945	498980	-	aes
aesp	Promoters	500051	500112	-	aes
agaR	Transcription-Units	3278703	3278665	-	agaR
AgaR DNA-binding-site 19.5 bases upstream of agaRp	DNA-Binding-Sites	3278713	3278733	-	agaR
AgaR DNA-binding-site 21.5 bases upstream of agaSp	DNA-Binding-Sites	3281858	3281878	+	agaSYBCDI
AgaR DNA-binding-site 211.5 bases upstream of agaSp	DNA-Binding-Sites	3281668	3281688	+	agaSYBCDI
AgaR DNA-binding-site 22.5 bases downstream of agaSp	DNA-Binding-Sites	3281901	3281921	+	agaSYBCDI
AgaR DNA-binding-site 274.5 bases upstream of agaSp	DNA-Binding-Sites	3281605	3281625	+	agaSYBCDI
AgaR DNA-binding-site 3.5 bases downstream of kbaZp	DNA-Binding-Sites	3278859	3278879	+	kbaZ-agaVWA
AgaR DNA-binding-site 31.5 bases upstream of kbaZp	DNA-Binding-Sites	3278825	3278845	+	kbaZ-agaVWA
AgaR DNA-binding-site 52.5 bases upstream of agaSp	DNA-Binding-Sites	3281827	3281847	+	agaSYBCDI
AgaR DNA-binding-site 75.5 bases upstream of kbaZp	DNA-Binding-Sites	3278781	3278801	+	kbaZ-agaVWA
AgaR DNA-binding-site 8.5 bases downstream of agaRp	DNA-Binding-Sites	3278686	3278706	-	agaR
AgaR DNA-binding-site 94.5 bases upstream of agaSp	DNA-Binding-Sites	3281785	3281805	+	agaSYBCDI
agaRp	Promoters	3278703	3278764	-	agaR
agaSp	Promoters	3281828	3281889	+	agaSYBCDI
